test_data,I_a,I_b,I_c,Fault_Type
273,0.000000,2.295699,2.295699,1.000000
274,0.000000,2.292782,2.292782,1.000000
275,0.000000,2.293234,2.293234,1.000000
276,0.000000,2.294726,2.294726,1.000000
277,0.000000,2.293550,2.293550,1.000000
278,0.000000,2.293041,2.293041,1.000000
279,0.000000,2.295663,2.295663,1.000000
280,0.000000,2.295870,2.295870,1.000000
281,0.000000,2.292800,2.292800,1.000000
282,0.000000,2.294386,2.294386,1.000000
283,0.000000,2.293669,2.293669,1.000000
284,0.000000,2.296114,2.296114,1.000000
285,0.000000,2.294783,2.294783,1.000000
286,0.000000,2.294046,2.294046,1.000000
287,0.000000,2.295797,2.295797,1.000000
288,0.000000,2.295960,2.295960,1.000000
289,0.000000,2.295481,2.295481,1.000000
290,0.000000,2.293531,2.293531,1.000000
291,0.000000,2.296063,2.296063,1.000000
292,0.000000,2.293267,2.293267,1.000000
293,0.000000,2.295493,2.295493,1.000000
294,0.000000,2.293598,2.293598,1.000000
295,0.000000,2.294271,2.294271,1.000000
296,0.000000,2.293912,2.293912,1.000000
297,0.000000,2.294456,2.294456,1.000000
298,0.000000,2.295825,2.295825,1.000000
299,0.000000,2.295796,2.295796,1.000000
300,0.000000,2.293793,2.293793,1.000000
301,0.000000,2.294629,2.294629,1.000000
302,0.000000,2.294693,2.294693,1.000000
303,0.000000,2.294329,2.294329,1.000000
304,0.000000,2.294795,2.294795,1.000000
305,0.000000,2.295117,2.295117,1.000000
306,0.000000,2.294865,2.294865,1.000000
307,0.000000,2.293971,2.293971,1.000000
308,0.000000,2.295025,2.295025,1.000000
309,0.000000,2.293712,2.293712,1.000000
310,0.000000,2.294378,2.294378,1.000000
311,0.000000,2.294731,2.294731,1.000000
312,0.000000,2.295095,2.295095,1.000000
313,0.000000,2.293626,2.293626,1.000000
314,0.000000,2.296032,2.296032,1.000000
315,0.000000,2.295847,2.295847,1.000000
316,0.000000,2.293928,2.293928,1.000000
317,0.000000,2.293616,2.293616,1.000000
318,0.000000,2.292819,2.292819,1.000000
319,0.000000,2.295176,2.295176,1.000000
320,0.000000,2.296063,2.296063,1.000000
321,0.000000,2.293355,2.293355,1.000000
322,0.000000,2.295859,2.295859,1.000000
323,0.000000,2.295204,2.295204,1.000000
324,0.000000,2.294915,2.294915,1.000000
325,0.000000,2.295705,2.295705,1.000000
326,0.000000,2.292976,2.292976,1.000000
327,0.000000,2.293990,2.293990,1.000000
328,0.000000,2.292780,2.292780,1.000000
329,0.000000,2.294043,2.294043,1.000000
330,0.000000,2.293416,2.293416,1.000000
331,0.000000,2.296036,2.296036,1.000000
332,0.000000,2.294727,2.294727,1.000000
333,0.000000,2.292770,2.292770,1.000000
334,0.000000,2.294962,2.294962,1.000000
335,0.000000,2.295891,2.295891,1.000000
336,0.000000,2.294187,2.294187,1.000000
337,0.000000,2.294824,2.294824,1.000000
338,0.000000,2.295644,2.295644,1.000000
339,0.000000,2.295368,2.295368,1.000000
340,0.000000,2.295688,2.295688,1.000000
341,0.000000,2.294490,2.294490,1.000000
342,0.000000,2.294673,2.294673,1.000000
343,0.000000,2.295515,2.295515,1.000000
344,0.000000,2.295444,2.295444,1.000000
345,0.000000,2.295308,2.295308,1.000000
346,0.000000,2.293329,2.293329,1.000000
347,0.000000,2.295971,2.295971,1.000000
348,0.000000,2.295482,2.295482,1.000000
349,0.000000,2.295250,2.295250,1.000000
350,0.000000,2.293745,2.293745,1.000000
351,0.000000,2.293202,2.293202,1.000000
352,0.000000,2.294759,2.294759,1.000000
353,0.000000,2.293839,2.293839,1.000000
354,0.000000,2.295083,2.295083,1.000000
355,0.000000,2.294074,2.294074,1.000000
356,0.000000,2.294721,2.294721,1.000000
357,0.000000,2.296034,2.296034,1.000000
358,0.000000,2.295272,2.295272,1.000000
359,0.000000,2.295943,2.295943,1.000000
360,0.000000,2.296025,2.296025,1.000000
361,0.000000,2.295290,2.295290,1.000000
362,0.000000,2.294302,2.294302,1.000000
363,0.000000,2.295794,2.295794,1.000000
364,0.000000,2.294754,2.294754,1.000000
365,0.000000,2.295467,2.295467,1.000000
366,0.000000,2.295822,2.295822,1.000000
367,0.000000,2.292920,2.292920,1.000000
368,0.000000,2.294278,2.294278,1.000000
369,0.000000,2.295570,2.295570,1.000000
370,0.000000,2.295558,2.295558,1.000000
371,0.000000,2.292951,2.292951,1.000000
372,0.000000,2.294079,2.294079,1.000000
373,0.000000,2.292931,2.292931,1.000000
374,0.000000,2.293681,2.293681,1.000000
375,0.000000,2.294635,2.294635,1.000000
376,0.000000,2.296049,2.296049,1.000000
377,0.000000,2.295771,2.295771,1.000000
378,0.000000,2.295631,2.295631,1.000000
379,0.000000,2.293629,2.293629,1.000000
380,0.000000,2.292891,2.292891,1.000000
381,0.000000,2.295671,2.295671,1.000000
382,0.000000,2.293504,2.293504,1.000000
383,0.000000,2.292951,2.292951,1.000000
384,0.000000,2.294307,2.294307,1.000000
385,0.000000,2.294409,2.294409,1.000000
386,0.000000,2.293851,2.293851,1.000000
387,0.000000,2.294600,2.294600,1.000000
388,0.000000,2.293256,2.293256,1.000000
389,0.000000,2.294793,2.294793,1.000000
390,0.000000,2.295637,2.295637,1.000000
391,0.000000,2.295046,2.295046,1.000000
392,0.000000,2.293051,2.293051,1.000000
393,0.000000,2.294814,2.294814,1.000000
394,0.000000,2.295427,2.295427,1.000000
395,0.000000,2.294905,2.294905,1.000000
