test_data,I_a,I_b,I_c,Fault_Type
194,2.649006,2.649006,2.649006,0.000000
195,2.650218,2.650218,2.650218,0.000000
196,2.649396,2.649396,2.649396,0.000000
197,2.649148,2.649148,2.649148,0.000000
198,2.647870,2.647870,2.647870,0.000000
199,2.649657,2.649657,2.649657,0.000000
200,2.647665,2.647665,2.647665,0.000000
201,2.644006,2.644006,2.644006,0.000000
202,2.644573,2.644573,2.644573,0.000000
203,2.644133,2.644133,2.644133,0.000000
204,2.646301,2.646301,2.646301,0.000000
205,2.643475,2.643475,2.643475,0.000000
206,2.647531,2.647531,2.647531,0.000000
207,2.646473,2.646473,2.646473,0.000000
208,2.646658,2.646658,2.646658,0.000000
209,2.641603,2.641603,2.641603,0.000000
210,2.645351,2.645351,2.645351,0.000000
211,2.649308,2.649308,2.649308,0.000000
212,2.649490,2.649490,2.649490,0.000000
213,2.646023,2.646023,2.646023,0.000000
214,2.648368,2.648368,2.648368,0.000000
215,2.649864,2.649864,2.649864,0.000000
216,2.642914,2.642914,2.642914,0.000000
217,2.649730,2.649730,2.649730,0.000000
218,2.647370,2.647370,2.647370,0.000000
219,2.650134,2.650134,2.650134,0.000000
220,2.646156,2.646156,2.646156,0.000000
221,2.644397,2.644397,2.644397,0.000000
222,2.647568,2.647568,2.647568,0.000000
223,2.646225,2.646225,2.646225,0.000000
224,2.646711,2.646711,2.646711,0.000000
225,2.646296,2.646296,2.646296,0.000000
226,2.645652,2.645652,2.645652,0.000000
227,2.644953,2.644953,2.644953,0.000000
228,2.648842,2.648842,2.648842,0.000000
229,2.643787,2.643787,2.643787,0.000000
230,2.650277,2.650277,2.650277,0.000000
231,2.643579,2.643579,2.643579,0.000000
232,2.647383,2.647383,2.647383,0.000000
233,2.646694,2.646694,2.646694,0.000000
234,2.648239,2.648239,2.648239,0.000000
235,2.647950,2.647950,2.647950,0.000000
236,2.643706,2.643706,2.643706,0.000000
237,2.647206,2.647206,2.647206,0.000000
238,2.649492,2.649492,2.649492,0.000000
239,2.646658,2.646658,2.646658,0.000000
240,2.649433,2.649433,2.649433,0.000000
241,2.649741,2.649741,2.649741,0.000000
242,2.642130,2.642130,2.642130,0.000000
243,2.647620,2.647620,2.647620,0.000000
244,2.643537,2.643537,2.643537,0.000000
245,2.645404,2.645404,2.645404,0.000000
246,2.647222,2.647222,2.647222,0.000000
247,2.648400,2.648400,2.648400,0.000000
248,2.643201,2.643201,2.643201,0.000000
249,2.646945,2.646945,2.646945,0.000000
250,2.643797,2.643797,2.643797,0.000000
251,2.643649,2.643649,2.643649,0.000000
252,2.643782,2.643782,2.643782,0.000000
253,2.645373,2.645373,2.645373,0.000000
254,2.643487,2.643487,2.643487,0.000000
255,2.643879,2.643879,2.643879,0.000000
256,2.644387,2.644387,2.644387,0.000000
257,2.648520,2.648520,2.648520,0.000000
258,2.645665,2.645665,2.645665,0.000000
259,2.647802,2.647802,2.647802,0.000000
260,2.642389,2.642389,2.642389,0.000000
261,2.648852,2.648852,2.648852,0.000000
262,2.645110,2.645110,2.645110,0.000000
263,2.643676,2.643676,2.643676,0.000000
264,2.648727,2.648727,2.648727,0.000000
265,2.646262,2.646262,2.646262,0.000000
266,2.644319,2.644319,2.644319,0.000000
267,2.642987,2.642987,2.642987,0.000000
268,2.642846,2.642846,2.642846,0.000000
269,2.644763,2.644763,2.644763,0.000000
270,2.649153,2.649153,2.649153,0.000000
271,2.644283,2.644283,2.644283,0.000000
272,2.647878,2.647878,2.647878,0.000000
273,2.643869,2.643869,2.643869,0.000000
274,2.648753,2.648753,2.648753,0.000000
275,2.645638,2.645638,2.645638,0.000000
276,2.641345,2.641345,2.641345,0.000000
277,2.648413,2.648413,2.648413,0.000000
278,2.646074,2.646074,2.646074,0.000000
279,2.648386,2.648386,2.648386,0.000000
280,2.650218,2.650218,2.650218,0.000000
281,2.647232,2.647232,2.647232,0.000000
282,2.649636,2.649636,2.649636,0.000000
283,2.644984,2.644984,2.644984,0.000000
284,2.647030,2.647030,2.647030,0.000000
285,2.646055,2.646055,2.646055,0.000000
286,2.647880,2.647880,2.647880,0.000000
287,2.643705,2.643705,2.643705,0.000000
288,2.648757,2.648757,2.648757,0.000000
289,2.644062,2.644062,2.644062,0.000000
290,2.648779,2.648779,2.648779,0.000000
291,2.644005,2.644005,2.644005,0.000000
292,2.644007,2.644007,2.644007,0.000000
293,2.647914,2.647914,2.647914,0.000000
294,2.648745,2.648745,2.648745,0.000000
295,2.644802,2.644802,2.644802,0.000000
296,2.641536,2.641536,2.641536,0.000000
297,2.643845,2.643845,2.643845,0.000000
298,2.646286,2.646286,2.646286,0.000000
299,2.641700,2.641700,2.641700,0.000000
300,2.642750,2.642750,2.642750,0.000000
301,2.650067,2.650067,2.650067,0.000000
302,2.648364,2.648364,2.648364,0.000000
303,2.648385,2.648385,2.648385,0.000000
304,2.641378,2.641378,2.641378,0.000000
305,2.644734,2.644734,2.644734,0.000000
306,2.648951,2.648951,2.648951,0.000000
307,2.649325,2.649325,2.649325,0.000000
308,2.648201,2.648201,2.648201,0.000000
309,2.648830,2.648830,2.648830,0.000000
310,2.643013,2.643013,2.643013,0.000000
311,2.644644,2.644644,2.644644,0.000000
312,2.645475,2.645475,2.645475,0.000000
313,2.644663,2.644663,2.644663,0.000000
314,2.642700,2.642700,2.642700,0.000000
315,2.643821,2.643821,2.643821,0.000000
316,2.648913,2.648913,2.648913,0.000000
317,2.649265,2.649265,2.649265,0.000000
318,2.650089,2.650089,2.650089,0.000000
319,2.649337,2.649337,2.649337,0.000000
320,2.644963,2.644963,2.644963,0.000000
321,2.648821,2.648821,2.648821,0.000000
322,2.641728,2.641728,2.641728,0.000000
323,2.644830,2.644830,2.644830,0.000000
324,2.646994,2.646994,2.646994,0.000000
325,2.647658,2.647658,2.647658,0.000000
326,2.648549,2.648549,2.648549,0.000000
327,2.650072,2.650072,2.650072,0.000000
328,2.650358,2.650358,2.650358,0.000000
329,2.648425,2.648425,2.648425,0.000000
330,2.641460,2.641460,2.641460,0.000000
331,2.647612,2.647612,2.647612,0.000000
332,2.647964,2.647964,2.647964,0.000000
333,2.644141,2.644141,2.644141,0.000000
334,2.648799,2.648799,2.648799,0.000000
335,2.644626,2.644626,2.644626,0.000000
336,2.646402,2.646402,2.646402,0.000000
337,2.643121,2.643121,2.643121,0.000000
338,2.643850,2.643850,2.643850,0.000000
339,2.645796,2.645796,2.645796,0.000000
340,2.646006,2.646006,2.646006,0.000000
341,2.648851,2.648851,2.648851,0.000000
342,2.645962,2.645962,2.645962,0.000000
343,2.641275,2.641275,2.641275,0.000000
344,2.642640,2.642640,2.642640,0.000000
345,2.644010,2.644010,2.644010,0.000000
346,2.644757,2.644757,2.644757,0.000000
347,2.645961,2.645961,2.645961,0.000000
348,2.649655,2.649655,2.649655,0.000000
349,2.649771,2.649771,2.649771,0.000000
350,2.642123,2.642123,2.642123,0.000000
351,2.649385,2.649385,2.649385,0.000000
352,2.641423,2.641423,2.641423,0.000000
353,2.643191,2.643191,2.643191,0.000000
354,2.648008,2.648008,2.648008,0.000000
355,2.649774,2.649774,2.649774,0.000000
356,2.645866,2.645866,2.645866,0.000000
357,2.642076,2.642076,2.642076,0.000000
358,2.647710,2.647710,2.647710,0.000000
359,2.645915,2.645915,2.645915,0.000000
360,2.647545,2.647545,2.647545,0.000000
361,2.650260,2.650260,2.650260,0.000000
362,2.644246,2.644246,2.644246,0.000000
363,2.645918,2.645918,2.645918,0.000000
364,2.648537,2.648537,2.648537,0.000000
365,2.646126,2.646126,2.646126,0.000000
366,2.644833,2.644833,2.644833,0.000000
367,2.647011,2.647011,2.647011,0.000000
368,2.648808,2.648808,2.648808,0.000000
369,2.643142,2.643142,2.643142,0.000000
370,2.649764,2.649764,2.649764,0.000000
371,2.643011,2.643011,2.643011,0.000000
372,2.645197,2.645197,2.645197,0.000000
373,2.644959,2.644959,2.644959,0.000000
374,2.649346,2.649346,2.649346,0.000000
375,2.649673,2.649673,2.649673,0.000000
376,2.650328,2.650328,2.650328,0.000000
377,2.646865,2.646865,2.646865,0.000000
378,2.641528,2.641528,2.641528,0.000000
379,2.646741,2.646741,2.646741,0.000000
380,2.649351,2.649351,2.649351,0.000000
381,2.642526,2.642526,2.642526,0.000000
382,2.646211,2.646211,2.646211,0.000000
383,2.648201,2.648201,2.648201,0.000000
384,2.648125,2.648125,2.648125,0.000000
385,2.642158,2.642158,2.642158,0.000000
386,2.650290,2.650290,2.650290,0.000000
387,2.647814,2.647814,2.647814,0.000000
388,2.645735,2.645735,2.645735,0.000000
389,2.646177,2.646177,2.646177,0.000000
390,2.645861,2.645861,2.645861,0.000000
391,2.643783,2.643783,2.643783,0.000000
392,2.641667,2.641667,2.641667,0.000000
393,2.642910,2.642910,2.642910,0.000000
394,2.648250,2.648250,2.648250,0.000000
395,2.646667,2.646667,2.646667,0.000000
396,2.646782,2.646782,2.646782,0.000000
397,2.645542,2.645542,2.645542,0.000000
398,2.645372,2.645372,2.645372,0.000000
399,2.641473,2.641473,2.641473,0.000000
400,2.643042,2.643042,2.643042,0.000000
401,2.641500,2.641500,2.641500,0.000000
402,2.645657,2.645657,2.645657,0.000000
403,2.649906,2.649906,2.649906,0.000000
404,2.644374,2.644374,2.644374,0.000000
405,2.649773,2.649773,2.649773,0.000000
406,2.646373,2.646373,2.646373,0.000000
407,2.646721,2.646721,2.646721,0.000000
408,2.643107,2.643107,2.643107,0.000000
409,2.641974,2.641974,2.641974,0.000000
410,2.645007,2.645007,2.645007,0.000000
411,2.649727,2.649727,2.649727,0.000000
412,2.644804,2.644804,2.644804,0.000000
413,2.644023,2.644023,2.644023,0.000000
414,2.647673,2.647673,2.647673,0.000000
